,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
0,2021,10282.0,7A1,244129.0,393061.0,W01000003,W02000001,D2,W99999999,W06000001,550.0,6.83180844348544,0.07081134861044083,9.53253151661106,9.65041052243284,1.177358845137157,5.387764923775026,0.9119385458601382,0.0,0.034581637972040204,24.03009262930104,-0.7913283979800055,-0.5477204403198092,0.3558469613295898,0.396226385639239,-0.8860386432546828,-0.9382866494736053,2.378166175786272,-0.2654136810509185,-0.2994729436144517,-0.6234100679245593,0.8704570984603262
1,2021,20261.0,7A1,224432.0,382452.0,W01000016,W02000003,C2,W99999999,W06000001,168.0,7.649046053892959,0.08622159387292777,8.2003256242725,8.228910013154415,1.2835549186933253,6.240912360966836,0.517717917143144,0.0,0.06959377645196511,24.006362857723605,-0.22395708132636896,-0.37461147598851663,-0.7044847041830035,-0.7293985491095459,-0.6322196713819749,-0.02842692804278056,0.40828974880629343,-0.2654136810509185,0.2464497334100661,-0.6331583655272628,-0.9386413052589906
2,2021,11608.0,7A1,260583.0,376172.0,W01000005,W02000005,D1,W99999999,W06000001,1065.0,6.397052149414701,0.14370839376116176,8.30283809222532,8.447305284520843,1.1991621184149688,6.434008263068595,0.55539713514159,0.0,0.01700810376496153,23.176633344321857,-1.0931601392619186,0.27115893336358343,-0.6228927997293963,-0.5564607545208788,-0.8339266938999186,0.17750486760796416,0.59656859043805,-0.2654136810509185,-0.5734862217411554,-0.9740150063083156,-1.620793272773238
3,2021,7177.0,7A1,246160.0,375708.0,W01000041,W02000006,D1,W99999999,W06000001,308.0,6.565916854062951,0.19786036708581803,6.591056161298592,6.733587466350467,1.2407288797244733,4.6543184393004635,0.6420113113342756,1.126293076042705,0.01787936153524449,21.16071639390115,-0.9759249697194526,0.8794680069087375,-1.9853372959234055,-1.9134799709508836,-0.7345780808452517,-1.7204883943971023,1.029369949614886,5.195229929062025,-0.55990123679075,-1.8021628167879453,3.654761708124562
4,2021,2319.0,7A1,239272.0,375888.0,W01000009,W02000007,E2,W99999999,W06000001,819.0,8.013836253776859,0.0959384401066153,8.475355792078084,8.523018866737957,2.2703341809412403,5.284254372232035,0.30265333382012977,0.0,0.004868251397098164,24.490035447614833,0.029300347571530577,-0.2654585611952181,-0.4855822075249337,-0.4965064347816637,1.726278994546596,-1.0486779810142082,-0.6663639402841633,-0.2654136810509185,-0.7627754508793984,-0.4344634757284346,-2.427217720619831
5,2021,8228.0,7A1,252704.0,371678.0,W01000015,W02000008,D1,W99999999,W06000001,1704.0,5.826391643605643,0.1063496449108054,9.681566149140387,9.781088554826317,1.3752007613093145,5.635670179274956,0.5249201795187564,0.0,0.020695035084765417,23.249620963445793,-1.4893440622970602,-0.1485056606802869,0.47446686913639197,0.49970468249941774,-0.4131771703718489,-0.6739020930915973,0.44427864903411163,-0.2654136810509185,-0.5159981760661688,-0.9440313619141385,-1.475278248560905
6,2021,6272.0,7A1,239623.0,370471.0,W01000007,W02000009,F2,W99999999,W06000001,1036.0,5.536814794440036,0.10091955956502426,9.061074050945761,9.135449416688258,1.6747573893596794,6.278840919556764,0.8947608894740428,0.0,0.038450616277603815,23.621542969083805,-1.6903842446028818,-0.20950381057520967,-0.019396296985162077,-0.011549100383025455,0.30279238295805,0.012022900730655681,2.2923313464526114,-0.2654136810509185,-0.2391463515916842,-0.7912441180874353,-0.12366584175110826
7,2021,20737.0,7A1,257291.0,372173.0,W01000092,W02000010,C1,W99999999,W06000002,1566.0,8.441242573313255,0.047478629506868014,6.660124464475394,6.74708538989952,1.1572337605860972,4.9443538581970445,0.7874426480301094,0.012532685297593014,0.05308389833050973,22.137369544830488,0.32602933210826496,-0.8098254730596072,-1.9303643301357905,-1.9027915475454922,-0.9341395578981946,-1.4111731061616575,1.7560740869241815,-0.2046510524389116,-0.010978611521830562,-1.4009492805004664,-0.8461432655333948
8,2021,7147.0,7A1,261902.0,366864.0,W01000097,W02000012,D1,W99999999,W06000002,901.0,7.57669553741992,0.03271227719605118,8.932599641010565,8.983184012145905,0.9061288873288539,4.964953990778894,0.9699171723738873,0.03512618317439531,0.009830819068142422,23.46871806041791,-0.2741867908614074,-0.9757013505642308,-0.12165187613081721,-0.13212150604434028,-1.5343046923338848,-1.3892035964669978,2.667878893281076,-0.09511025667681204,-0.685397194494254,-0.8540252824960178,0.5053617946400316
9,2021,6537.0,7A1,251937.0,367086.0,W01000119,W02000013,F1,W99999999,W06000002,1564.0,6.494393947491667,0.06961661094454501,8.240860114676698,8.305166956569154,1.1163001071611982,4.954314551450859,1.0718576353167728,0.0,0.017745836780498167,22.011649808934195,-1.0255801069224613,-0.5611413688299006,-0.6722224210268013,-0.6690139650766288,-1.0319749813689727,-1.400550283898949,3.1772639946142056,-0.2654136810509185,-0.5619832059227399,-1.4525955172141687,0.0941316668115566
