,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
10,AL35ER,2018,0.0,Q58,06N,514705.0,207519.0,E01023728,E02004935,C1,E12000006,E07000240,119.0,4.892205116298517,0.1704277884637673,7.514941468300758,7.608570331994913,2.0597392983642684,5.542646735411704,0.4852245360013671,0.002962962962962963,0.048300254762614375,20.7617767694975,-0.6495842087905515,-0.30876104705591556,-0.8002367483811271,-0.797207893793329,0.2164782923446247,-0.7512823144205683,-0.019873917219689348,-0.07267798183664295,-0.3683110339003783,-1.2723410824753965,-2.2164160825965067
11,AL35HB,2018,1128.9166666666667,Q58,06N,514669.0,207465.0,E01023728,E02004935,C1,E12000006,E07000240,119.0,6.052491668104801,0.2833853205698083,9.078431908079711,9.126306947755891,1.8709549449587684,6.386240664301148,0.35105068308212517,0.007754083577157783,0.07788776592168642,24.078184312349702,0.017303557368736698,0.44667409536411123,0.11434573154282562,0.08626795032004647,-0.0069383810828766304,-0.06610514397345738,-0.3684728339652118,-0.06475210091168707,-0.16618514781995186,-0.008808914992564094,-0.049164479643956344
12,AL35NF,2018,872.5833333333334,Q58,06N,514956.0,207822.0,E01023728,E02004935,C1,E12000006,E07000240,119.0,5.650988711961014,0.16434924427087325,9.020348817992588,9.151014004104299,1.6769924676137513,5.6542493455827705,0.47817503918754234,0.003376724497791478,0.026554804705704604,22.779145537218042,-0.2134647895643961,-0.34941301432583227,0.08036933154575365,0.1006499499610198,-0.23648310063439798,-0.6606373274987333,-0.03818931101239383,-0.0719935021667591,-0.5168641966635418,-0.503735204351658,-1.0892748637719034
13,AL35NP,2018,1728.5833333333333,Q58,06N,514557.0,208092.0,E01023670,E02004932,C1,E12000006,E07000240,10.0,6.64646989725961,0.2698106569347049,9.2192423283366,9.29740443417882,1.8248520372786496,6.639760579912308,0.26733315509883626,0.01326330356643183,0.061535731455665515,24.95889406422936,0.35869923567910184,0.3558897291931025,0.19671447527232794,0.18586395049125068,-0.06149882575650412,0.13980679123821696,-0.5859804849167946,-0.05563827866830547,-0.27789341006250706,0.3267364265666122,-0.019059258284152003
14,AL37BL,2018,0.0,Q58,06N,510675.0,212320.0,E01023724,E02004929,D1,E12000006,E07000240,53.0,5.454163220398424,0.23663547918083025,9.028731418060154,9.151359884492253,1.4386769663571026,5.922406622575703,0.5379652208262539,0.0,0.03116560251319625,22.741207393830564,-0.3265924580589058,0.13402143352441823,0.08527283396761015,0.10085128724479919,-0.5185173664858854,-0.4428367507132896,0.11715237514920097,-0.07757956823376304,-0.48536571788422145,-0.5181894184146946,-0.5375126482584719
15,AL52BT,2018,1321.0,Q58,06N,513330.0,214114.0,E01023701,E02004926,C1,E12000006,E07000240,112.0,5.053579660044934,0.3522866789215435,9.019182527573475,9.186442442428314,1.5901182253805086,7.579542475278802,0.503122219523608,0.0,0.036573115181936594,24.265091701577713,-0.5568323719046664,0.9074712329158856,0.07968709598058187,0.12127287565767245,-0.33929434455457635,0.903108988958306,0.02662629837643456,-0.07757956823376304,-0.4484245137463012,0.06240172350053242,-0.027466046934738086
16,AL54HX,2018,1001.25,Q58,06N,513518.0,214340.0,E01023701,E02004926,C1,E12000006,E07000240,112.0,5.355771233222353,0.294415078481425,8.723683216096042,8.782165483655463,1.3862812994343188,6.1150421694237265,0.34135838576191935,0.0,0.12700613306322067,22.275033649979207,-0.3831443610639648,0.5204386915222364,-0.09316876947968979,-0.11405710432594388,-0.5805249714316176,-0.28637583462938715,-0.3936545237884362,-0.07757956823376304,0.16936499115353826,-0.6957989291220288,-0.2786318747363332
17,AL54QA,2018,1323.5833333333333,Q58,06N,513688.0,214647.0,E01023689,E02004925,C1,E12000006,E07000240,-85.0,4.7298172341229865,0.2775291064135716,9.088409503211446,9.206321879141852,0.9317081887625097,5.742789259415541,0.6106294164859107,0.04210122933767391,0.22579443841297198,21.540896313680047,-0.7429184733537226,0.407509022502872,0.12018224545240196,0.13284471358304611,-1.118489110852338,-0.5887241408884026,0.3059422126772876,-0.007932118838306416,0.8442333045391939,-0.975501024771704,0.9396786611103706
18,AL69EF,2018,1333.75,Q58,06K,523032.0,216103.0,E01023969,E02004981,C1,E12000006,E07000241,122.0,5.100434359104246,0.25285168007154635,10.634337144236147,10.731122252797086,1.6398826714633206,7.847888050717162,0.4063821860384731,0.001902925107021066,0.06619173292794243,25.980464125298855,-0.529902105806963,0.24247182015193142,1.0244911556567082,1.0204323774966646,-0.2804006555479313,1.1210625040137154,-0.2247153016828666,-0.07443158699474499,-0.24608612427506477,0.7159487344087898,0.18776907888895678
19,AL73UJ,2018,1730.6666666666667,Q58,06K,524364.0,212468.0,E01023954,E02004986,C1,E12000006,E07000241,-4.0,6.722487242935716,0.17100723441573562,9.188003898484043,9.36837040506323,2.0665229022642273,7.310718016520604,0.30220803042911315,0.0,0.06652326309117992,25.94131383162863,0.4023910614340214,-0.30488583991311996,0.17844118116282162,0.227173305737315,0.22450634228541227,0.684766519090843,-0.4953715957982338,-0.07757956823376304,-0.2438212893706859,0.7010326980714146,-0.49209392614446634
20,AL74HL,2018,779.0,Q58,06K,524835.0,210869.0,E01023942,E02004988,C1,E12000006,E07000241,91.0,6.5909715161489055,0.1657664307824267,7.236254233143609,7.304778093631454,1.4058211355287813,4.188374936938133,0.20208407079342827,0.0,0.0816550210620515,19.85779618382313,0.32680091595217114,-0.3399351824873491,-0.9632581882111078,-0.9740456279799543,-0.5574005699608745,-1.851238213956266,-0.7555050205295041,-0.07757956823376304,-0.14044929666155337,-1.616752477643437,-1.9607137799399526
21,AL74PL,2018,1346.8333333333333,Q58,06K,525501.0,211637.0,E01023946,E02004987,C1,E12000006,E07000241,28.0,5.814300490818723,0.3419847085132859,8.29912990924675,8.569442134379083,1.7919646246956178,6.813843269352838,0.3513855054516264,0.015084362271144671,0.10070967914448832,23.698005095482316,-0.1195995049755417,0.838573919585217,-0.3415163169664764,-0.23788355656604193,-0.10041940463073121,0.28119885261982175,-0.36760292740166883,-0.052625727824115544,-0.010278170466939861,-0.15365500634695908,0.050584032350909094
22,AL87QG,2018,838.3333333333334,Q58,06K,523855.0,214456.0,E01023960,E02004982,C1,E12000006,E07000241,-15.0,6.255234394404561,0.1988501630774012,9.363511909043375,9.441850732361715,1.9666887106353352,6.744996547848985,0.26541633513201146,0.0014066280312834073,0.035707501764294027,24.874443511491293,0.13383222318547608,-0.118678453944645,0.2811066963843709,0.26994627010518524,0.10635765789660877,0.22528071449776296,-0.5909606010086645,-0.07525260400568108,-0.4543379168069186,0.2945612525062852,-0.8354510824752479
23,AL97SN,2018,1462.1666666666667,Q58,06K,523823.0,204652.0,E01023964,E02004993,E1,E12000006,E07000241,-113.0,6.168725048084345,0.3559496406473132,9.701242539277088,9.786957047713614,2.1215934611081155,6.722365965113407,0.27296437549866787,0.0,0.1636960933083764,25.428555538165458,0.08411000186904613,0.931968315681365,0.4786662781296219,0.47083296552928233,0.2896795456719622,0.20689988206959958,-0.571349934413649,-0.07757956823376304,0.42001097097039247,0.5056747423428735,1.257992751402674
24,B100BS,2018,546.4166666666666,Q54,04X,409455.0,285472.0,E01009363,E02001897,A1,E12000005,E08000025,92.0,3.3437026839208492,0.0,8.91210778442513,8.966745777456781,4.275707934186918,7.7651445788979565,0.34118367431563934,0.0,0.0,24.692484648778144,-1.5396034255201947,-1.4485446298770457,0.017052441086446924,-0.0066127498975232695,2.838964383507891,1.0538572575645275,-0.39410844397922706,-0.07757956823376304,-0.6982722712385295,0.2252359741061141,-4.164721088746283
25,B100JL,2018,702.6666666666666,Q54,04X,410395.0,285388.0,E01009337,E02001896,A1,E12000005,E08000025,-112.0,2.882798745720813,0.0018000761688301622,5.1702937717032125,5.23279028145179,2.917358638950855,4.672443756981274,0.21383228244511585,0.0,0.08069553364565063,15.921023781718679,-1.804513156036108,-1.4365061161842134,-2.171766532218717,-2.180151590205972,1.2314271304476463,-1.4580716760516317,-0.7249818316490269,-0.07757956823376304,-0.14700399614879225,-3.1166400824821516,-6.370736258457876
26,B100TU,2018,226.41666666666666,Q54,13P,410531.0,285386.0,E01009337,E02001896,A1,E12000005,E08000025,-112.0,2.3320717404930025,0.06465922798774666,8.803301984914231,8.803301984914231,4.792006522852669,7.213424493176018,0.13982274367854605,0.0,0.04256186058119247,23.345286713102215,-2.1210497061738427,-1.016117927620153,-0.04659481598335331,-0.10175352800230698,3.449977484404289,0.605743545186997,-0.9172670234470931,-0.07757956823376304,-0.40751264171263346,-0.28803867796787136,-4.641280395189793
27,B100UG,2018,428.3333333333333,Q54,13P,409670.0,285807.0,E01009332,E02006900,A1,E12000005,E08000025,126.0,2.9908162755384353,0.0012188581736629126,5.448493311727742,5.551169125359489,3.138544737510482,6.007510896256071,0.1697250631410637,0.0,0.013608932609732052,17.858984955979203,-1.7424288639670698,-1.440393174362362,-2.009030375504315,-1.99482297986065,1.4931896200669772,-0.37371403249975765,-0.8395773995299335,-0.07757956823376304,-0.6053033984069435,-2.3782880399870825,-6.700105384360723
28,B109AB,2018,450.75,Q54,04X,410244.0,286040.0,E01009328,E02006900,A1,E12000005,E08000025,-51.0,3.498551339689078,0.021673822176550714,6.919893672967269,6.969353206225349,4.425685204050343,7.605553244622445,0.3346688907607987,0.0,0.06970801803735473,22.855485707524565,-1.45060241626323,-1.303594871879869,-1.1483170912365173,-1.1692967555210536,3.016454848783119,0.9242352497452843,-0.4110345919628876,-0.07757956823376304,-0.22206476473487763,-0.47465003927256383,-4.634172968595681
29,B109QE,2018,454.1666666666667,Q54,13P,409479.0,286078.0,E01009332,E02006900,A1,E12000005,E08000025,126.0,3.428601684350008,0.0022467439399999284,6.015102625748568,6.098276351193703,2.2488434771741903,5.116300508022312,0.18962422156793324,0.028570691814636087,0.026613570590111355,17.11246367806278,-1.490806768645031,-1.4335189003249709,-1.6775854632869804,-1.6763513734271058,0.4402734628596472,-1.097565865913206,-0.7878771246937515,-0.030315489638974093,-0.5164627399004788,-2.662708346047105,-5.935332396630311
30,B111LU,2018,675.75,Q54,04X,408839.0,284976.0,E01009368,E02001903,A1,E12000005,E08000025,-81.0,4.1581873440629415,0.027509492624274486,6.5279494394110875,6.5809865289901515,3.3782794996651346,6.015875212478711,0.3559757966655359,0.018517188333641486,0.01050382406795952,20.53533106282039,-1.0714691920176314,-1.2645671908248863,-1.37758957029842,-1.3953653463640303,1.7769035089530956,-0.36692043391412266,-0.3556768292096576,-0.04694685375719593,-0.6265158218516654,-1.358615592130154,-4.760541234025067
31,B111TX,2018,410.9166666666667,Q54,04X,409355.0,284584.0,E01009372,E02001908,A1,E12000005,E08000025,-49.0,2.76149013127232,0.008412832091744668,6.1541374575977,6.199474718634277,3.490644410583171,5.869920045133514,0.31668173212830647,0.0,0.13597345691597085,18.646623869843335,-1.87423664871944,-1.3922814583037086,-1.5962553712869512,-1.6174437130537485,1.9098816618266157,-0.4854669823765675,-0.457767274062959,-0.07757956823376304,0.23062490145023518,-2.07820215151613,-5.188683760923384
32,B113ND,2018,472.5,Q54,04X,409762.0,283925.0,E01033641,E02006901,A1,E12000005,E08000025,-3.0,2.9142701273447336,0.026038044258322596,5.231705696304115,5.291292665768743,3.2958942128684274,4.148725482849518,0.7009491077275976,0.0,0.05957470772261033,16.37716964081734,-1.7864246249258837,-1.274407914016794,-2.135842890558115,-2.1460972998697336,1.679404715311256,-1.883441979099495,0.5406030340117753,-0.07757956823376304,-0.29129006439877386,-2.9428511380933786,-5.035196437433172
33,B114AN,2018,679.0833333333334,Q54,04X,409301.0,283747.0,E01033643,E02001908,A1,E12000005,E08000025,45.0,2.921107841527776,0.016092208107821183,5.957758307717793,6.011444294749811,2.6772626068776026,5.273343472485539,0.29534188683757295,0.0,0.029081226489934667,17.19459231058612,-1.7824945716730332,-1.340923479723266,-1.7111297097113776,-1.7268963912953108,0.9472856970009382,-0.9700136748119802,-0.5132106170840782,-0.07757956823376304,-0.499605048403151,-2.6314178102116426,-5.940709676412602
34,B114BW,2018,1577.1666666666667,Q54,04X,409705.0,282964.0,E01009393,E02006901,A1,E12000005,E08000025,39.0,3.4666624008116784,0.02202749362556618,5.3297655379406805,5.384180025350784,2.345730558059562,4.732380179943147,0.46122629176669155,0.09140941645808569,0.10022173366382021,16.503616366015518,-1.468930943108631,-1.3012295949791126,-2.0784816103972976,-2.0920274846185145,0.5549343916868156,-1.40939058994448,-0.08222408278464229,0.07363769566061444,-0.013611550287524735,-2.894675664272283,-4.884385960117811
35,B114DG,2018,256.1666666666667,Q54,04X,409638.0,283008.0,E01009393,E02006901,A1,E12000005,E08000025,39.0,2.6842179262909425,0.0,7.8362752591447355,7.887060342072122,3.1279590171471803,5.142376286515012,0.39553699700778183,0.0,0.044738881519931016,19.237150569033037,-1.9186497189959253,-1.4485446298770457,-0.6122686944447053,-0.6350986093660419,1.4806619588135965,-1.0763868039107631,-0.25289233517891535,-0.07757956823376304,-0.3926404111998197,-1.8532148812417601,-4.7254052728515115
