,Middle Layer Super Output Areas Code,age,Count
210,W02000022,0-10,509
211,W02000022,10-20,488
212,W02000022,20-30,455
213,W02000022,30-40,472
214,W02000022,40-50,586
215,W02000022,50-60,857
216,W02000022,60-70,941
217,W02000022,70-80,847
218,W02000022,80-90,346
219,W02000022,90-100,54
220,W02000023,0-10,563
221,W02000023,10-20,509
222,W02000023,20-30,509
223,W02000023,30-40,446
224,W02000023,40-50,540
225,W02000023,50-60,852
226,W02000023,60-70,802
227,W02000023,70-80,678
228,W02000023,80-90,317
229,W02000023,90-100,70
230,W02000024,0-10,595
231,W02000024,10-20,608
232,W02000024,20-30,528
233,W02000024,30-40,574
234,W02000024,40-50,727
235,W02000024,50-60,910
236,W02000024,60-70,824
237,W02000024,70-80,591
238,W02000024,80-90,263
239,W02000024,90-100,60
240,W02000025,0-10,618
241,W02000025,10-20,601
242,W02000025,20-30,554
243,W02000025,30-40,610
244,W02000025,40-50,673
245,W02000025,50-60,958
246,W02000025,60-70,972
247,W02000025,70-80,738
248,W02000025,80-90,333
249,W02000025,90-100,67
250,W02000026,0-10,538
251,W02000026,10-20,580
252,W02000026,20-30,534
253,W02000026,30-40,557
254,W02000026,40-50,688
255,W02000026,50-60,1115
256,W02000026,60-70,1225
257,W02000026,70-80,1081
258,W02000026,80-90,527
259,W02000026,90-100,111
260,W02000027,0-10,693
261,W02000027,10-20,700
262,W02000027,20-30,881
263,W02000027,30-40,922
264,W02000027,40-50,941
265,W02000027,50-60,1299
266,W02000027,60-70,1232
267,W02000027,70-80,1041
268,W02000027,80-90,544
269,W02000027,90-100,166
270,W02000028,0-10,742
271,W02000028,10-20,768
272,W02000028,20-30,601
273,W02000028,30-40,633
274,W02000028,40-50,734
275,W02000028,50-60,970
276,W02000028,60-70,867
277,W02000028,70-80,858
278,W02000028,80-90,444
279,W02000028,90-100,96
280,W02000029,0-10,529
281,W02000029,10-20,520
282,W02000029,20-30,450
283,W02000029,30-40,555
284,W02000029,40-50,619
285,W02000029,50-60,907
286,W02000029,60-70,908
287,W02000029,70-80,917
288,W02000029,80-90,487
289,W02000029,90-100,102
290,W02000030,0-10,527
291,W02000030,10-20,489
292,W02000030,20-30,423
293,W02000030,30-40,506
294,W02000030,40-50,595
295,W02000030,50-60,789
296,W02000030,60-70,934
297,W02000030,70-80,968
298,W02000030,80-90,533
299,W02000030,90-100,118
300,W02000031,0-10,849
301,W02000031,10-20,860
302,W02000031,20-30,762
303,W02000031,30-40,771
304,W02000031,40-50,875
305,W02000031,50-60,1256
306,W02000031,60-70,1267
307,W02000031,70-80,1072
308,W02000031,80-90,390
309,W02000031,90-100,67
310,W02000032,0-10,844
311,W02000032,10-20,767
312,W02000032,20-30,683
313,W02000032,30-40,916
314,W02000032,40-50,853
315,W02000032,50-60,1223
316,W02000032,60-70,1255
317,W02000032,70-80,1132
318,W02000032,80-90,591
319,W02000032,90-100,120
320,W02000033,0-10,868
321,W02000033,10-20,783
322,W02000033,20-30,886
323,W02000033,30-40,780
324,W02000033,40-50,798
325,W02000033,50-60,969
326,W02000033,60-70,803
327,W02000033,70-80,646
328,W02000033,80-90,343
329,W02000033,90-100,83
330,W02000034,0-10,795
331,W02000034,10-20,845
332,W02000034,20-30,722
333,W02000034,30-40,861
334,W02000034,40-50,892
335,W02000034,50-60,1225
336,W02000034,60-70,1069
337,W02000034,70-80,779
338,W02000034,80-90,394
339,W02000034,90-100,83
340,W02000035,0-10,1148
341,W02000035,10-20,1080
342,W02000035,20-30,871
343,W02000035,30-40,1059
344,W02000035,40-50,1076
345,W02000035,50-60,1312
346,W02000035,60-70,1099
347,W02000035,70-80,826
348,W02000035,80-90,365
349,W02000035,90-100,56
350,W02000036,0-10,1166
351,W02000036,10-20,946
352,W02000036,20-30,1130
353,W02000036,30-40,1098
354,W02000036,40-50,1053
355,W02000036,50-60,1556
356,W02000036,60-70,1638
357,W02000036,70-80,1726
358,W02000036,80-90,841
359,W02000036,90-100,137
360,W02000037,0-10,948
361,W02000037,10-20,738
362,W02000037,20-30,841
363,W02000037,30-40,919
364,W02000037,40-50,828
365,W02000037,50-60,998
366,W02000037,60-70,858
367,W02000037,70-80,736
368,W02000037,80-90,283
369,W02000037,90-100,43
370,W02000038,0-10,591
371,W02000038,10-20,648
372,W02000038,20-30,525
