,Middle Layer Super Output Areas Code,age,Count
1049,W02000111,90-100,91
1050,W02000113,0-10,937
1051,W02000113,10-20,792
1052,W02000113,20-30,1095
1053,W02000113,30-40,1024
1054,W02000113,40-50,921
1055,W02000113,50-60,1053
1056,W02000113,60-70,1010
1057,W02000113,70-80,884
1058,W02000113,80-90,432
1059,W02000113,90-100,94
1060,W02000114,0-10,611
1061,W02000114,10-20,665
1062,W02000114,20-30,483
1063,W02000114,30-40,550
1064,W02000114,40-50,782
1065,W02000114,50-60,1090
1066,W02000114,60-70,1223
1067,W02000114,70-80,1019
1068,W02000114,80-90,439
1069,W02000114,90-100,76
1070,W02000116,0-10,776
1071,W02000116,10-20,745
1072,W02000116,20-30,721
1073,W02000116,30-40,789
1074,W02000116,40-50,784
1075,W02000116,50-60,1246
1076,W02000116,60-70,996
1077,W02000116,70-80,842
1078,W02000116,80-90,386
1079,W02000116,90-100,74
1080,W02000117,0-10,408
1081,W02000117,10-20,2773
1082,W02000117,20-30,2938
1083,W02000117,30-40,630
1084,W02000117,40-50,525
1085,W02000117,50-60,572
1086,W02000117,60-70,507
1087,W02000117,70-80,389
1088,W02000117,80-90,197
1089,W02000117,90-100,41
1090,W02000118,0-10,758
1091,W02000118,10-20,932
1092,W02000118,20-30,1119
1093,W02000118,30-40,771
1094,W02000118,40-50,698
1095,W02000118,50-60,772
1096,W02000118,60-70,617
1097,W02000118,70-80,523
1098,W02000118,80-90,230
1099,W02000118,90-100,33
1100,W02000120,0-10,647
1101,W02000120,10-20,608
1102,W02000120,20-30,665
1103,W02000120,30-40,663
1104,W02000120,40-50,718
1105,W02000120,50-60,1108
1106,W02000120,60-70,1161
1107,W02000120,70-80,1033
1108,W02000120,80-90,377
1109,W02000120,90-100,90
1110,W02000122,0-10,575
1111,W02000122,10-20,509
1112,W02000122,20-30,507
1113,W02000122,30-40,530
1114,W02000122,40-50,652
1115,W02000122,50-60,1034
1116,W02000122,60-70,1184
1117,W02000122,70-80,948
1118,W02000122,80-90,335
1119,W02000122,90-100,53
1120,W02000123,0-10,826
1121,W02000123,10-20,801
1122,W02000123,20-30,758
1123,W02000123,30-40,727
1124,W02000123,40-50,833
1125,W02000123,50-60,1200
1126,W02000123,60-70,1125
1127,W02000123,70-80,967
1128,W02000123,80-90,373
1129,W02000123,90-100,70
1130,W02000124,0-10,955
1131,W02000124,10-20,837
1132,W02000124,20-30,793
1133,W02000124,30-40,859
1134,W02000124,40-50,873
1135,W02000124,50-60,1249
1136,W02000124,60-70,1259
1137,W02000124,70-80,1189
1138,W02000124,80-90,547
1139,W02000124,90-100,120
1140,W02000125,0-10,676
1141,W02000125,10-20,679
1142,W02000125,20-30,604
1143,W02000125,30-40,660
1144,W02000125,40-50,722
1145,W02000125,50-60,1240
1146,W02000125,60-70,1335
1147,W02000125,70-80,1069
1148,W02000125,80-90,389
1149,W02000125,90-100,80
1150,W02000126,0-10,838
1151,W02000126,10-20,841
1152,W02000126,20-30,716
1153,W02000126,30-40,784
1154,W02000126,40-50,867
1155,W02000126,50-60,1276
1156,W02000126,60-70,1359
1157,W02000126,70-80,1092
1158,W02000126,80-90,404
1159,W02000126,90-100,49
1160,W02000127,0-10,1015
1161,W02000127,10-20,946
1162,W02000127,20-30,857
1163,W02000127,30-40,887
1164,W02000127,40-50,1006
1165,W02000127,50-60,1413
1166,W02000127,60-70,1558
1167,W02000127,70-80,1280
1168,W02000127,80-90,571
1169,W02000127,90-100,97
1170,W02000128,0-10,652
1171,W02000128,10-20,717
1172,W02000128,20-30,713
1173,W02000128,30-40,631
1174,W02000128,40-50,781
1175,W02000128,50-60,1147
1176,W02000128,60-70,1164
1177,W02000128,70-80,976
1178,W02000128,80-90,387
1179,W02000128,90-100,71
1180,W02000129,0-10,830
1181,W02000129,10-20,709
1182,W02000129,20-30,619
1183,W02000129,30-40,722
1184,W02000129,40-50,803
1185,W02000129,50-60,1199
1186,W02000129,60-70,999
1187,W02000129,70-80,888
1188,W02000129,80-90,393
1189,W02000129,90-100,60
1190,W02000130,0-10,965
1191,W02000130,10-20,816
1192,W02000130,20-30,965
1193,W02000130,30-40,863
1194,W02000130,40-50,802
1195,W02000130,50-60,893
1196,W02000130,60-70,654
1197,W02000130,70-80,476
1198,W02000130,80-90,244
1199,W02000130,90-100,30
1200,W02000131,0-10,920
1201,W02000131,10-20,833
1202,W02000131,20-30,847
1203,W02000131,30-40,855
1204,W02000131,40-50,768
1205,W02000131,50-60,1009
1206,W02000131,60-70,867
1207,W02000131,70-80,699
1208,W02000131,80-90,331
1209,W02000131,90-100,76
1210,W02000132,0-10,698
1211,W02000132,10-20,696
1212,W02000132,20-30,646
1213,W02000132,30-40,695
1214,W02000132,40-50,784
1215,W02000132,50-60,1102
1216,W02000132,60-70,1035
1217,W02000132,70-80,879
1218,W02000132,80-90,375
1219,W02000132,90-100,77
1220,W02000133,0-10,830
1221,W02000133,10-20,819
1222,W02000133,20-30,692
1223,W02000133,30-40,850
1224,W02000133,40-50,839
1225,W02000133,50-60,1343
1226,W02000133,60-70,1287
1227,W02000133,70-80,1068
1228,W02000133,80-90,467
1229,W02000133,90-100,77
1230,W02000134,0-10,877
1231,W02000134,10-20,874
1232,W02000134,20-30,750
1233,W02000134,30-40,794
1234,W02000134,40-50,1004
1235,W02000134,50-60,1368
1236,W02000134,60-70,1215
1237,W02000134,70-80,1028
1238,W02000134,80-90,372
1239,W02000134,90-100,61
1240,W02000135,0-10,978
1241,W02000135,10-20,839
1242,W02000135,20-30,835
1243,W02000135,30-40,865
1244,W02000135,40-50,819
1245,W02000135,50-60,981
1246,W02000135,60-70,898
1247,W02000135,70-80,763
1248,W02000135,80-90,322
1249,W02000135,90-100,54
1250,W02000136,0-10,718
1251,W02000136,10-20,737
1252,W02000136,20-30,616
1253,W02000136,30-40,712
1254,W02000136,40-50,884
1255,W02000136,50-60,1355
1256,W02000136,60-70,1344
1257,W02000136,70-80,1244
1258,W02000136,80-90,591
1259,W02000136,90-100,99
1260,W02000137,0-10,1047
1261,W02000137,10-20,857
1262,W02000137,20-30,906
1263,W02000137,30-40,994
1264,W02000137,40-50,779
1265,W02000137,50-60,978
1266,W02000137,60-70,915
1267,W02000137,70-80,615
1268,W02000137,80-90,320
1269,W02000137,90-100,38
1270,W02000138,0-10,1228
1271,W02000138,10-20,1150
1272,W02000138,20-30,1240
1273,W02000138,30-40,1155
1274,W02000138,40-50,1068
1275,W02000138,50-60,1347
1276,W02000138,60-70,1153
1277,W02000138,70-80,899
1278,W02000138,80-90,343
1279,W02000138,90-100,64
1280,W02000139,0-10,723
1281,W02000139,10-20,698
1282,W02000139,20-30,622
1283,W02000139,30-40,698
1284,W02000139,40-50,827
1285,W02000139,50-60,1195
1286,W02000139,60-70,1280
1287,W02000139,70-80,1164
1288,W02000139,80-90,439
1289,W02000139,90-100,78
1290,W02000140,0-10,978
1291,W02000140,10-20,826
1292,W02000140,20-30,779
1293,W02000140,30-40,838
1294,W02000140,40-50,850
1295,W02000140,50-60,1007
1296,W02000140,60-70,942
1297,W02000140,70-80,737
1298,W02000140,80-90,267
1299,W02000140,90-100,56
1300,W02000141,0-10,486
1301,W02000141,10-20,553
1302,W02000141,20-30,505
1303,W02000141,30-40,512
1304,W02000141,40-50,631
1305,W02000141,50-60,898
1306,W02000141,60-70,881
1307,W02000141,70-80,819
1308,W02000141,80-90,420
1309,W02000141,90-100,85
1310,W02000142,0-10,585
1311,W02000142,10-20,546
1312,W02000142,20-30,568
1313,W02000142,30-40,575
1314,W02000142,40-50,561
1315,W02000142,50-60,903
1316,W02000142,60-70,790
1317,W02000142,70-80,713
1318,W02000142,80-90,279
1319,W02000142,90-100,44
1320,W02000143,0-10,519
1321,W02000143,10-20,550
1322,W02000143,20-30,451
1323,W02000143,30-40,512
1324,W02000143,40-50,545
1325,W02000143,50-60,936
1326,W02000143,60-70,944
1327,W02000143,70-80,771
1328,W02000143,80-90,290
1329,W02000143,90-100,54
1330,W02000144,0-10,650
1331,W02000144,10-20,742
1332,W02000144,20-30,638
1333,W02000144,30-40,697
1334,W02000144,40-50,793
1335,W02000144,50-60,1292
1336,W02000144,60-70,1273
1337,W02000144,70-80,1040
1338,W02000144,80-90,418
1339,W02000144,90-100,62
1340,W02000145,0-10,639
1341,W02000145,10-20,730
1342,W02000145,20-30,562
1343,W02000145,30-40,657
1344,W02000145,40-50,814
1345,W02000145,50-60,1210
1346,W02000145,60-70,1135
1347,W02000145,70-80,866
1348,W02000145,80-90,388
1349,W02000145,90-100,88
1350,W02000146,0-10,573
1351,W02000146,10-20,655
1352,W02000146,20-30,526
1353,W02000146,30-40,584
1354,W02000146,40-50,755
1355,W02000146,50-60,1150
1356,W02000146,60-70,1061
1357,W02000146,70-80,865
1358,W02000146,80-90,322
1359,W02000146,90-100,33
1360,W02000147,0-10,1018
1361,W02000147,10-20,1146
1362,W02000147,20-30,1006
1363,W02000147,30-40,1026
1364,W02000147,40-50,1088
1365,W02000147,50-60,1133
1366,W02000147,60-70,986
1367,W02000147,70-80,721
1368,W02000147,80-90,307
1369,W02000147,90-100,46
1370,W02000148,0-10,705
1371,W02000148,10-20,638
1372,W02000148,20-30,656
1373,W02000148,30-40,685
1374,W02000148,40-50,604
1375,W02000148,50-60,642
1376,W02000148,60-70,668
1377,W02000148,70-80,483
1378,W02000148,80-90,187
1379,W02000148,90-100,21
1380,W02000149,0-10,705
1381,W02000149,10-20,536
1382,W02000149,20-30,764
1383,W02000149,30-40,800
1384,W02000149,40-50,680
1385,W02000149,50-60,790
1386,W02000149,60-70,795
1387,W02000149,70-80,863
1388,W02000149,80-90,432
1389,W02000149,90-100,85
1390,W02000151,0-10,937
1391,W02000151,10-20,782
1392,W02000151,20-30,781
1393,W02000151,30-40,820
1394,W02000151,40-50,862
1395,W02000151,50-60,1124
1396,W02000151,60-70,1015
1397,W02000151,70-80,740
1398,W02000151,80-90,297
1399,W02000151,90-100,56
1400,W02000152,0-10,992
1401,W02000152,10-20,958
1402,W02000152,20-30,744
1403,W02000152,30-40,947
1404,W02000152,40-50,1041
1405,W02000152,50-60,1153
1406,W02000152,60-70,1184
1407,W02000152,70-80,1070
1408,W02000152,80-90,458
1409,W02000152,90-100,103
1410,W02000153,0-10,874
1411,W02000153,10-20,862
1412,W02000153,20-30,774
1413,W02000153,30-40,842
1414,W02000153,40-50,973
1415,W02000153,50-60,1363
1416,W02000153,60-70,1422
1417,W02000153,70-80,1068
1418,W02000153,80-90,417
1419,W02000153,90-100,77
1420,W02000154,0-10,945
1421,W02000154,10-20,910
1422,W02000154,20-30,835
1423,W02000154,30-40,900
1424,W02000154,40-50,937
1425,W02000154,50-60,1081
1426,W02000154,60-70,949
1427,W02000154,70-80,814
1428,W02000154,80-90,393
1429,W02000154,90-100,86
1430,W02000156,0-10,996
1431,W02000156,10-20,902
1432,W02000156,20-30,918
1433,W02000156,30-40,1009
1434,W02000156,40-50,1044
1435,W02000156,50-60,1232
1436,W02000156,60-70,1069
1437,W02000156,70-80,841
1438,W02000156,80-90,356
1439,W02000156,90-100,54
1440,W02000157,0-10,1259
1441,W02000157,10-20,985
1442,W02000157,20-30,1066
1443,W02000157,30-40,1268
1444,W02000157,40-50,1163
1445,W02000157,50-60,1491
1446,W02000157,60-70,1339
1447,W02000157,70-80,1021
1448,W02000157,80-90,436
1449,W02000157,90-100,75
1450,W02000158,0-10,713
1451,W02000158,10-20,614
1452,W02000158,20-30,647
1453,W02000158,30-40,757
1454,W02000158,40-50,685
1455,W02000158,50-60,872
1456,W02000158,60-70,763
1457,W02000158,70-80,611
1458,W02000158,80-90,195
1459,W02000158,90-100,35
1460,W02000159,0-10,749
1461,W02000159,10-20,690
1462,W02000159,20-30,587
1463,W02000159,30-40,642
1464,W02000159,40-50,692
1465,W02000159,50-60,950
1466,W02000159,60-70,863
1467,W02000159,70-80,737
1468,W02000159,80-90,244
1469,W02000159,90-100,39
1470,W02000160,0-10,874
1471,W02000160,10-20,844
1472,W02000160,20-30,692
1473,W02000160,30-40,804
1474,W02000160,40-50,926
1475,W02000160,50-60,1109
1476,W02000160,60-70,955
1477,W02000160,70-80,963
1478,W02000160,80-90,405
1479,W02000160,90-100,71
1480,W02000161,0-10,615
1481,W02000161,10-20,660
1482,W02000161,20-30,589
1483,W02000161,30-40,615
1484,W02000161,40-50,578
1485,W02000161,50-60,764
1486,W02000161,60-70,603
1487,W02000161,70-80,478
1488,W02000161,80-90,228
1489,W02000161,90-100,59
1490,W02000162,0-10,747
1491,W02000162,10-20,899
1492,W02000162,20-30,743
1493,W02000162,30-40,722
1494,W02000162,40-50,921
1495,W02000162,50-60,1328
1496,W02000162,60-70,1203
1497,W02000162,70-80,1107
1498,W02000162,80-90,450
1499,W02000162,90-100,86
1500,W02000163,0-10,676
1501,W02000163,10-20,641
1502,W02000163,20-30,564
1503,W02000163,30-40,712
1504,W02000163,40-50,673
1505,W02000163,50-60,695
1506,W02000163,60-70,596
1507,W02000163,70-80,479
1508,W02000163,80-90,241
1509,W02000163,90-100,62
1510,W02000164,0-10,822
1511,W02000164,10-20,732
1512,W02000164,20-30,893
1513,W02000164,30-40,867
1514,W02000164,40-50,859
1515,W02000164,50-60,1069
1516,W02000164,60-70,1004
1517,W02000164,70-80,740
1518,W02000164,80-90,382
1519,W02000164,90-100,61
1520,W02000165,0-10,864
1521,W02000165,10-20,813
1522,W02000165,20-30,793
1523,W02000165,30-40,846
1524,W02000165,40-50,782
1525,W02000165,50-60,932
1526,W02000165,60-70,714
1527,W02000165,70-80,539
1528,W02000165,80-90,247
1529,W02000165,90-100,54
1530,W02000166,0-10,1350
1531,W02000166,10-20,1071
1532,W02000166,20-30,1166
1533,W02000166,30-40,1286
1534,W02000166,40-50,1072
1535,W02000166,50-60,1189
1536,W02000166,60-70,963
1537,W02000166,70-80,713
1538,W02000166,80-90,284
1539,W02000166,90-100,70
1540,W02000167,0-10,1396
1541,W02000167,10-20,1207
1542,W02000167,20-30,1354
1543,W02000167,30-40,1385
1544,W02000167,40-50,1271
1545,W02000167,50-60,1412
1546,W02000167,60-70,1109
1547,W02000167,70-80,780
1548,W02000167,80-90,331
1549,W02000167,90-100,65
1550,W02000168,0-10,812
1551,W02000168,10-20,831
1552,W02000168,20-30,690
1553,W02000168,30-40,898
1554,W02000168,40-50,819
1555,W02000168,50-60,908
1556,W02000168,60-70,693
1557,W02000168,70-80,563
1558,W02000168,80-90,271
1559,W02000168,90-100,34
1560,W02000169,0-10,1075
1561,W02000169,10-20,1042
1562,W02000169,20-30,964
1563,W02000169,30-40,1118
1564,W02000169,40-50,1048
1565,W02000169,50-60,1315
1566,W02000169,60-70,1192
1567,W02000169,70-80,952
1568,W02000169,80-90,385
1569,W02000169,90-100,47
1570,W02000170,0-10,905
1571,W02000170,10-20,946
1572,W02000170,20-30,1004
1573,W02000170,30-40,1051
1574,W02000170,40-50,1046
1575,W02000170,50-60,1218
1576,W02000170,60-70,1135
1577,W02000170,70-80,952
1578,W02000170,80-90,376
1579,W02000170,90-100,47
1580,W02000171,0-10,1117
1581,W02000171,10-20,923
1582,W02000171,20-30,911
1583,W02000171,30-40,1140
1584,W02000171,40-50,1189
1585,W02000171,50-60,1277
1586,W02000171,60-70,908
1587,W02000171,70-80,688
1588,W02000171,80-90,257
1589,W02000171,90-100,38
1590,W02000172,0-10,1295
1591,W02000172,10-20,1219
1592,W02000172,20-30,1166
1593,W02000172,30-40,1381
1594,W02000172,40-50,1285
1595,W02000172,50-60,1436
1596,W02000172,60-70,1108
1597,W02000172,70-80,865
1598,W02000172,80-90,409
1599,W02000172,90-100,78
1600,W02000173,0-10,1046
1601,W02000173,10-20,951
1602,W02000173,20-30,977
1603,W02000173,30-40,1185
1604,W02000173,40-50,1104
1605,W02000173,50-60,1043
1606,W02000173,60-70,822
1607,W02000173,70-80,540
1608,W02000173,80-90,187
1609,W02000173,90-100,42
1610,W02000174,0-10,1181
1611,W02000174,10-20,988
1612,W02000174,20-30,1040
1613,W02000174,30-40,1240
1614,W02000174,40-50,1152
1615,W02000174,50-60,1299
1616,W02000174,60-70,1201
1617,W02000174,70-80,1078
1618,W02000174,80-90,407
1619,W02000174,90-100,52
1620,W02000175,0-10,866
1621,W02000175,10-20,739
1622,W02000175,20-30,995
1623,W02000175,30-40,1013
1624,W02000175,40-50,938
1625,W02000175,50-60,1067
1626,W02000175,60-70,769
1627,W02000175,70-80,614
1628,W02000175,80-90,287
1629,W02000175,90-100,59
1630,W02000176,0-10,1112
1631,W02000176,10-20,940
1632,W02000176,20-30,910
1633,W02000176,30-40,1151
1634,W02000176,40-50,1007
1635,W02000176,50-60,1209
1636,W02000176,60-70,1063
1637,W02000176,70-80,1051
1638,W02000176,80-90,441
1639,W02000176,90-100,65
1640,W02000177,0-10,931
1641,W02000177,10-20,785
1642,W02000177,20-30,870
1643,W02000177,30-40,967
1644,W02000177,40-50,854
1645,W02000177,50-60,1022
1646,W02000177,60-70,709
1647,W02000177,70-80,575
1648,W02000177,80-90,252
1649,W02000177,90-100,32
1650,W02000178,0-10,1618
1651,W02000178,10-20,1360
1652,W02000178,20-30,1126
1653,W02000178,30-40,1344
1654,W02000178,40-50,1092
1655,W02000178,50-60,1021
1656,W02000178,60-70,724
1657,W02000178,70-80,460
1658,W02000178,80-90,147
1659,W02000178,90-100,24
1660,W02000179,0-10,596
1661,W02000179,10-20,765
1662,W02000179,20-30,686
1663,W02000179,30-40,634
1664,W02000179,40-50,833
1665,W02000179,50-60,989
1666,W02000179,60-70,850
1667,W02000179,70-80,756
1668,W02000179,80-90,311
1669,W02000179,90-100,57
1670,W02000180,0-10,1185
1671,W02000180,10-20,1075
1672,W02000180,20-30,996
1673,W02000180,30-40,1072
1674,W02000180,40-50,969
1675,W02000180,50-60,1020
1676,W02000180,60-70,805
1677,W02000180,70-80,597
1678,W02000180,80-90,259
1679,W02000180,90-100,31
1680,W02000181,0-10,921
1681,W02000181,10-20,817
1682,W02000181,20-30,1218
1683,W02000181,30-40,1036
1684,W02000181,40-50,769
1685,W02000181,50-60,900
1686,W02000181,60-70,723
1687,W02000181,70-80,587
1688,W02000181,80-90,322
1689,W02000181,90-100,104
1690,W02000182,0-10,873
1691,W02000182,10-20,851
1692,W02000182,20-30,978
1693,W02000182,30-40,1020
1694,W02000182,40-50,956
1695,W02000182,50-60,1038
1696,W02000182,60-70,916
1697,W02000182,70-80,585
1698,W02000182,80-90,267
1699,W02000182,90-100,42
1700,W02000183,0-10,1195
1701,W02000183,10-20,1485
1702,W02000183,20-30,1710
1703,W02000183,30-40,1490
1704,W02000183,40-50,1195
1705,W02000183,50-60,1244
1706,W02000183,60-70,980
1707,W02000183,70-80,591
1708,W02000183,80-90,267
1709,W02000183,90-100,54
1710,W02000184,0-10,781
1711,W02000184,10-20,709
1712,W02000184,20-30,777
1713,W02000184,30-40,922
1714,W02000184,40-50,825
1715,W02000184,50-60,1032
1716,W02000184,60-70,769
1717,W02000184,70-80,579
1718,W02000184,80-90,314
1719,W02000184,90-100,58
1720,W02000185,0-10,490
1721,W02000185,10-20,499
1722,W02000185,20-30,436
1723,W02000185,30-40,500
1724,W02000185,40-50,596
1725,W02000185,50-60,736
1726,W02000185,60-70,822
1727,W02000185,70-80,648
1728,W02000185,80-90,255
1729,W02000185,90-100,47
1730,W02000186,0-10,1763
1731,W02000186,10-20,1217
1732,W02000186,20-30,1273
1733,W02000186,30-40,1255
1734,W02000186,40-50,975
1735,W02000186,50-60,1012
1736,W02000186,60-70,700
1737,W02000186,70-80,420
1738,W02000186,80-90,201
1739,W02000186,90-100,20
1740,W02000188,0-10,976
1741,W02000188,10-20,1018
1742,W02000188,20-30,1513
1743,W02000188,30-40,1061
1744,W02000188,40-50,927
1745,W02000188,50-60,962
1746,W02000188,60-70,787
1747,W02000188,70-80,555
1748,W02000188,80-90,251
1749,W02000188,90-100,30
1750,W02000189,0-10,905
1751,W02000189,10-20,835
1752,W02000189,20-30,814
1753,W02000189,30-40,980
1754,W02000189,40-50,1042
1755,W02000189,50-60,1191
1756,W02000189,60-70,1019
1757,W02000189,70-80,865
1758,W02000189,80-90,486
1759,W02000189,90-100,107
1760,W02000191,0-10,661
1761,W02000191,10-20,1379
1762,W02000191,20-30,2113
1763,W02000191,30-40,1051
1764,W02000191,40-50,904
1765,W02000191,50-60,965
1766,W02000191,60-70,792
1767,W02000191,70-80,553
1768,W02000191,80-90,286
1769,W02000191,90-100,70
1770,W02000192,0-10,545
1771,W02000192,10-20,1080
1772,W02000192,20-30,2459
1773,W02000192,30-40,1437
1774,W02000192,40-50,928
1775,W02000192,50-60,975
1776,W02000192,60-70,843
1777,W02000192,70-80,576
1778,W02000192,80-90,242
1779,W02000192,90-100,38
1780,W02000193,0-10,453
1781,W02000193,10-20,1822
1782,W02000193,20-30,3168
1783,W02000193,30-40,724
1784,W02000193,40-50,648
1785,W02000193,50-60,704
1786,W02000193,60-70,555
1787,W02000193,70-80,437
1788,W02000193,80-90,248
1789,W02000193,90-100,57
1790,W02000194,0-10,562
1791,W02000194,10-20,1424
1792,W02000194,20-30,662
1793,W02000194,30-40,576
1794,W02000194,40-50,642
1795,W02000194,50-60,724
1796,W02000194,60-70,722
1797,W02000194,70-80,714
1798,W02000194,80-90,416
1799,W02000194,90-100,101
1800,W02000195,0-10,507
1801,W02000195,10-20,627
1802,W02000195,20-30,327
1803,W02000195,30-40,473
1804,W02000195,40-50,701
1805,W02000195,50-60,814
1806,W02000195,60-70,862
1807,W02000195,70-80,894
1808,W02000195,80-90,469
1809,W02000195,90-100,116
1810,W02000196,0-10,634
1811,W02000196,10-20,631
1812,W02000196,20-30,508
1813,W02000196,30-40,664
1814,W02000196,40-50,719
1815,W02000196,50-60,840
1816,W02000196,60-70,877
1817,W02000196,70-80,869
1818,W02000196,80-90,448
1819,W02000196,90-100,84
1820,W02000197,0-10,480
1821,W02000197,10-20,642
1822,W02000197,20-30,374
1823,W02000197,30-40,393
1824,W02000197,40-50,689
1825,W02000197,50-60,971
1826,W02000197,60-70,993
1827,W02000197,70-80,941
1828,W02000197,80-90,476
1829,W02000197,90-100,78
1830,W02000198,0-10,616
1831,W02000198,10-20,732
1832,W02000198,20-30,512
1833,W02000198,30-40,591
1834,W02000198,40-50,883
1835,W02000198,50-60,1115
1836,W02000198,60-70,1105
1837,W02000198,70-80,1008
1838,W02000198,80-90,581
1839,W02000198,90-100,124
1840,W02000200,0-10,606
1841,W02000200,10-20,567
1842,W02000200,20-30,500
1843,W02000200,30-40,634
1844,W02000200,40-50,597
1845,W02000200,50-60,733
1846,W02000200,60-70,722
1847,W02000200,70-80,527
1848,W02000200,80-90,221
1849,W02000200,90-100,34
1850,W02000201,0-10,606
1851,W02000201,10-20,590
1852,W02000201,20-30,551
1853,W02000201,30-40,623
1854,W02000201,40-50,621
1855,W02000201,50-60,785
1856,W02000201,60-70,619
1857,W02000201,70-80,577
1858,W02000201,80-90,264
1859,W02000201,90-100,36
1860,W02000202,0-10,1471
1861,W02000202,10-20,1329
1862,W02000202,20-30,1454
1863,W02000202,30-40,1450
1864,W02000202,40-50,1588
1865,W02000202,50-60,1790
1866,W02000202,60-70,1548
1867,W02000202,70-80,1237
1868,W02000202,80-90,497
1869,W02000202,90-100,82
1870,W02000204,0-10,575
1871,W02000204,10-20,716
1872,W02000204,20-30,613
1873,W02000204,30-40,679
1874,W02000204,40-50,824
1875,W02000204,50-60,1017
1876,W02000204,60-70,935
1877,W02000204,70-80,866
1878,W02000204,80-90,328
1879,W02000204,90-100,57
1880,W02000205,0-10,542
1881,W02000205,10-20,593
1882,W02000205,20-30,574
1883,W02000205,30-40,587
1884,W02000205,40-50,674
1885,W02000205,50-60,914
1886,W02000205,60-70,765
1887,W02000205,70-80,717
1888,W02000205,80-90,309
1889,W02000205,90-100,53
1890,W02000206,0-10,732
1891,W02000206,10-20,685
1892,W02000206,20-30,778
1893,W02000206,30-40,815
1894,W02000206,40-50,716
1895,W02000206,50-60,948
1896,W02000206,60-70,875
1897,W02000206,70-80,659
1898,W02000206,80-90,320
1899,W02000206,90-100,77
1900,W02000207,0-10,515
1901,W02000207,10-20,506
1902,W02000207,20-30,540
1903,W02000207,30-40,569
1904,W02000207,40-50,562
1905,W02000207,50-60,829
1906,W02000207,60-70,791
1907,W02000207,70-80,653
1908,W02000207,80-90,240
1909,W02000207,90-100,42
1910,W02000208,0-10,1530
1911,W02000208,10-20,2785
1912,W02000208,20-30,1595
1913,W02000208,30-40,1699
1914,W02000208,40-50,1403
1915,W02000208,50-60,1358
1916,W02000208,60-70,1036
1917,W02000208,70-80,885
1918,W02000208,80-90,360
1919,W02000208,90-100,67
1920,W02000210,0-10,807
1921,W02000210,10-20,774
1922,W02000210,20-30,771
1923,W02000210,30-40,741
1924,W02000210,40-50,800
1925,W02000210,50-60,918
1926,W02000210,60-70,665
1927,W02000210,70-80,491
1928,W02000210,80-90,187
1929,W02000210,90-100,26
1930,W02000211,0-10,1072
1931,W02000211,10-20,858
1932,W02000211,20-30,1017
1933,W02000211,30-40,1092
1934,W02000211,40-50,843
1935,W02000211,50-60,1099
1936,W02000211,60-70,887
1937,W02000211,70-80,630
1938,W02000211,80-90,279
1939,W02000211,90-100,50
1940,W02000212,0-10,903
1941,W02000212,10-20,836
1942,W02000212,20-30,888
1943,W02000212,30-40,969
1944,W02000212,40-50,906
1945,W02000212,50-60,1204
1946,W02000212,60-70,980
1947,W02000212,70-80,738
1948,W02000212,80-90,282
1949,W02000212,90-100,37
1950,W02000213,0-10,710
1951,W02000213,10-20,729
1952,W02000213,20-30,682
1953,W02000213,30-40,840
1954,W02000213,40-50,881
1955,W02000213,50-60,895
1956,W02000213,60-70,847
1957,W02000213,70-80,732
1958,W02000213,80-90,360
1959,W02000213,90-100,69
1960,W02000214,0-10,1252
1961,W02000214,10-20,1203
1962,W02000214,20-30,1045
1963,W02000214,30-40,1248
1964,W02000214,40-50,1070
1965,W02000214,50-60,1242
1966,W02000214,60-70,1312
1967,W02000214,70-80,768
1968,W02000214,80-90,404
1969,W02000214,90-100,113
1970,W02000215,0-10,1261
1971,W02000215,10-20,1036
1972,W02000215,20-30,1167
1973,W02000215,30-40,1298
1974,W02000215,40-50,1071
1975,W02000215,50-60,1330
1976,W02000215,60-70,1160
1977,W02000215,70-80,735
1978,W02000215,80-90,347
1979,W02000215,90-100,54
1980,W02000216,0-10,835
1981,W02000216,10-20,749
1982,W02000216,20-30,901
1983,W02000216,30-40,941
1984,W02000216,40-50,825
1985,W02000216,50-60,1090
1986,W02000216,60-70,862
1987,W02000216,70-80,628
1988,W02000216,80-90,298
1989,W02000216,90-100,59
1990,W02000217,0-10,805
1991,W02000217,10-20,769
1992,W02000217,20-30,731
1993,W02000217,30-40,760
1994,W02000217,40-50,859
1995,W02000217,50-60,945
1996,W02000217,60-70,691
1997,W02000217,70-80,570
1998,W02000217,80-90,239
1999,W02000217,90-100,25
2000,W02000218,0-10,953
2001,W02000218,10-20,812
2002,W02000218,20-30,838
2003,W02000218,30-40,818
2004,W02000218,40-50,781
2005,W02000218,50-60,925
2006,W02000218,60-70,743
2007,W02000218,70-80,554
2008,W02000218,80-90,231
2009,W02000218,90-100,12
2010,W02000219,0-10,762
2011,W02000219,10-20,856
2012,W02000219,20-30,788
2013,W02000219,30-40,831
2014,W02000219,40-50,925
2015,W02000219,50-60,1088
2016,W02000219,60-70,953
2017,W02000219,70-80,668
2018,W02000219,80-90,272
2019,W02000219,90-100,44
2020,W02000220,0-10,1020
2021,W02000220,10-20,912
2022,W02000220,20-30,979
2023,W02000220,30-40,1002
2024,W02000220,40-50,965
2025,W02000220,50-60,1157
2026,W02000220,60-70,892
2027,W02000220,70-80,735
2028,W02000220,80-90,288
2029,W02000220,90-100,42
