,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
83162,W02000077,Flintshire 020,2,Married: Opposite sex,2488
83163,W02000077,Flintshire 020,3,Married: Same sex,6
83164,W02000077,Flintshire 020,4,In a registered civil partnership: Opposite sex,2
83165,W02000077,Flintshire 020,5,In a registered civil partnership: Same sex,8
83166,W02000077,Flintshire 020,6,"Separated, but still married",108
83167,W02000077,Flintshire 020,7,"Separated, but still in a registered civil partnership",0
83168,W02000077,Flintshire 020,8,Divorced,480
83169,W02000077,Flintshire 020,9,Formerly in a civil partnership now legally dissolved,0
83170,W02000077,Flintshire 020,10,Widowed,402
83171,W02000077,Flintshire 020,11,Surviving partner from civil partnership,0
83172,W02000080,Wrexham 003,-8,Does not apply,1602
83173,W02000080,Wrexham 003,1,Never married and never registered a civil partnership,2196
83174,W02000080,Wrexham 003,2,Married: Opposite sex,2837
83175,W02000080,Wrexham 003,3,Married: Same sex,19
83176,W02000080,Wrexham 003,4,In a registered civil partnership: Opposite sex,4
83177,W02000080,Wrexham 003,5,In a registered civil partnership: Same sex,2
83178,W02000080,Wrexham 003,6,"Separated, but still married",132
83179,W02000080,Wrexham 003,7,"Separated, but still in a registered civil partnership",0
83180,W02000080,Wrexham 003,8,Divorced,628
83181,W02000080,Wrexham 003,9,Formerly in a civil partnership now legally dissolved,0
83182,W02000080,Wrexham 003,10,Widowed,457
83183,W02000080,Wrexham 003,11,Surviving partner from civil partnership,0
83184,W02000081,Wrexham 004,-8,Does not apply,1249
83185,W02000081,Wrexham 004,1,Never married and never registered a civil partnership,1713
83186,W02000081,Wrexham 004,2,Married: Opposite sex,2119
83187,W02000081,Wrexham 004,3,Married: Same sex,10
83188,W02000081,Wrexham 004,4,In a registered civil partnership: Opposite sex,2
83189,W02000081,Wrexham 004,5,In a registered civil partnership: Same sex,2
83190,W02000081,Wrexham 004,6,"Separated, but still married",92
83191,W02000081,Wrexham 004,7,"Separated, but still in a registered civil partnership",1
83192,W02000081,Wrexham 004,8,Divorced,459
83193,W02000081,Wrexham 004,9,Formerly in a civil partnership now legally dissolved,0
83194,W02000081,Wrexham 004,10,Widowed,310
83195,W02000081,Wrexham 004,11,Surviving partner from civil partnership,0
83196,W02000082,Wrexham 005,-8,Does not apply,1597
83197,W02000082,Wrexham 005,1,Never married and never registered a civil partnership,2409
83198,W02000082,Wrexham 005,2,Married: Opposite sex,2488
83199,W02000082,Wrexham 005,3,Married: Same sex,19
83200,W02000082,Wrexham 005,4,In a registered civil partnership: Opposite sex,4
83201,W02000082,Wrexham 005,5,In a registered civil partnership: Same sex,9
83202,W02000082,Wrexham 005,6,"Separated, but still married",125
83203,W02000082,Wrexham 005,7,"Separated, but still in a registered civil partnership",1
83204,W02000082,Wrexham 005,8,Divorced,678
83205,W02000082,Wrexham 005,9,Formerly in a civil partnership now legally dissolved,2
83206,W02000082,Wrexham 005,10,Widowed,341
83207,W02000082,Wrexham 005,11,Surviving partner from civil partnership,0
83208,W02000083,Wrexham 006,-8,Does not apply,1749
83209,W02000083,Wrexham 006,1,Never married and never registered a civil partnership,2666
83210,W02000083,Wrexham 006,2,Married: Opposite sex,2888
83211,W02000083,Wrexham 006,3,Married: Same sex,14
83212,W02000083,Wrexham 006,4,In a registered civil partnership: Opposite sex,0
83213,W02000083,Wrexham 006,5,In a registered civil partnership: Same sex,5
83214,W02000083,Wrexham 006,6,"Separated, but still married",148
83215,W02000083,Wrexham 006,7,"Separated, but still in a registered civil partnership",0
83216,W02000083,Wrexham 006,8,Divorced,744
83217,W02000083,Wrexham 006,9,Formerly in a civil partnership now legally dissolved,3
83218,W02000083,Wrexham 006,10,Widowed,471
83219,W02000083,Wrexham 006,11,Surviving partner from civil partnership,0
83220,W02000085,Wrexham 008,-8,Does not apply,1308
83221,W02000085,Wrexham 008,1,Never married and never registered a civil partnership,2668
83222,W02000085,Wrexham 008,2,Married: Opposite sex,3356
83223,W02000085,Wrexham 008,3,Married: Same sex,14
83224,W02000085,Wrexham 008,4,In a registered civil partnership: Opposite sex,4
83225,W02000085,Wrexham 008,5,In a registered civil partnership: Same sex,6
83226,W02000085,Wrexham 008,6,"Separated, but still married",150
83227,W02000085,Wrexham 008,7,"Separated, but still in a registered civil partnership",1
83228,W02000085,Wrexham 008,8,Divorced,765
83229,W02000085,Wrexham 008,9,Formerly in a civil partnership now legally dissolved,1
83230,W02000085,Wrexham 008,10,Widowed,649
83231,W02000085,Wrexham 008,11,Surviving partner from civil partnership,2
83232,W02000087,Wrexham 010,-8,Does not apply,1827
83233,W02000087,Wrexham 010,1,Never married and never registered a civil partnership,2414
83234,W02000087,Wrexham 010,2,Married: Opposite sex,1516
83235,W02000087,Wrexham 010,3,Married: Same sex,7
83236,W02000087,Wrexham 010,4,In a registered civil partnership: Opposite sex,4
83237,W02000087,Wrexham 010,5,In a registered civil partnership: Same sex,8
83238,W02000087,Wrexham 010,6,"Separated, but still married",128
83239,W02000087,Wrexham 010,7,"Separated, but still in a registered civil partnership",2
83240,W02000087,Wrexham 010,8,Divorced,611
83241,W02000087,Wrexham 010,9,Formerly in a civil partnership now legally dissolved,3
83242,W02000087,Wrexham 010,10,Widowed,341
83243,W02000087,Wrexham 010,11,Surviving partner from civil partnership,0
83244,W02000088,Wrexham 011,-8,Does not apply,1459
83245,W02000088,Wrexham 011,1,Never married and never registered a civil partnership,3131
83246,W02000088,Wrexham 011,2,Married: Opposite sex,2672
83247,W02000088,Wrexham 011,3,Married: Same sex,29
83248,W02000088,Wrexham 011,4,In a registered civil partnership: Opposite sex,2
83249,W02000088,Wrexham 011,5,In a registered civil partnership: Same sex,10
83250,W02000088,Wrexham 011,6,"Separated, but still married",174
83251,W02000088,Wrexham 011,7,"Separated, but still in a registered civil partnership",2
83252,W02000088,Wrexham 011,8,Divorced,779
83253,W02000088,Wrexham 011,9,Formerly in a civil partnership now legally dissolved,2
83254,W02000088,Wrexham 011,10,Widowed,415
83255,W02000088,Wrexham 011,11,Surviving partner from civil partnership,0
83256,W02000089,Wrexham 012,-8,Does not apply,1732
83257,W02000089,Wrexham 012,1,Never married and never registered a civil partnership,3088
83258,W02000089,Wrexham 012,2,Married: Opposite sex,2342
83259,W02000089,Wrexham 012,3,Married: Same sex,13
83260,W02000089,Wrexham 012,4,In a registered civil partnership: Opposite sex,19
83261,W02000089,Wrexham 012,5,In a registered civil partnership: Same sex,11
83262,W02000089,Wrexham 012,6,"Separated, but still married",210
83263,W02000089,Wrexham 012,7,"Separated, but still in a registered civil partnership",0
83264,W02000089,Wrexham 012,8,Divorced,791
83265,W02000089,Wrexham 012,9,Formerly in a civil partnership now legally dissolved,0
83266,W02000089,Wrexham 012,10,Widowed,405
83267,W02000089,Wrexham 012,11,Surviving partner from civil partnership,1
83268,W02000090,Wrexham 013,-8,Does not apply,1092
83269,W02000090,Wrexham 013,1,Never married and never registered a civil partnership,1609
83270,W02000090,Wrexham 013,2,Married: Opposite sex,2161
83271,W02000090,Wrexham 013,3,Married: Same sex,13
83272,W02000090,Wrexham 013,4,In a registered civil partnership: Opposite sex,6
83273,W02000090,Wrexham 013,5,In a registered civil partnership: Same sex,6
83274,W02000090,Wrexham 013,6,"Separated, but still married",104
83275,W02000090,Wrexham 013,7,"Separated, but still in a registered civil partnership",0
83276,W02000090,Wrexham 013,8,Divorced,448
83277,W02000090,Wrexham 013,9,Formerly in a civil partnership now legally dissolved,0
83278,W02000090,Wrexham 013,10,Widowed,260
83279,W02000090,Wrexham 013,11,Surviving partner from civil partnership,0
83280,W02000091,Wrexham 014,-8,Does not apply,1094
83281,W02000091,Wrexham 014,1,Never married and never registered a civil partnership,1749
83282,W02000091,Wrexham 014,2,Married: Opposite sex,2446
83283,W02000091,Wrexham 014,3,Married: Same sex,5
83284,W02000091,Wrexham 014,4,In a registered civil partnership: Opposite sex,6
83285,W02000091,Wrexham 014,5,In a registered civil partnership: Same sex,1
83286,W02000091,Wrexham 014,6,"Separated, but still married",81
83287,W02000091,Wrexham 014,7,"Separated, but still in a registered civil partnership",1
83288,W02000091,Wrexham 014,8,Divorced,465
83289,W02000091,Wrexham 014,9,Formerly in a civil partnership now legally dissolved,2
83290,W02000091,Wrexham 014,10,Widowed,348
83291,W02000091,Wrexham 014,11,Surviving partner from civil partnership,0
83292,W02000092,Wrexham 015,-8,Does not apply,1279
83293,W02000092,Wrexham 015,1,Never married and never registered a civil partnership,2294
83294,W02000092,Wrexham 015,2,Married: Opposite sex,2002
83295,W02000092,Wrexham 015,3,Married: Same sex,8
83296,W02000092,Wrexham 015,4,In a registered civil partnership: Opposite sex,0
83297,W02000092,Wrexham 015,5,In a registered civil partnership: Same sex,12
83298,W02000092,Wrexham 015,6,"Separated, but still married",98
83299,W02000092,Wrexham 015,7,"Separated, but still in a registered civil partnership",0
83300,W02000092,Wrexham 015,8,Divorced,637
83301,W02000092,Wrexham 015,9,Formerly in a civil partnership now legally dissolved,1
83302,W02000092,Wrexham 015,10,Widowed,398
83303,W02000092,Wrexham 015,11,Surviving partner from civil partnership,0
83304,W02000093,Wrexham 016,-8,Does not apply,1173
83305,W02000093,Wrexham 016,1,Never married and never registered a civil partnership,1778
83306,W02000093,Wrexham 016,2,Married: Opposite sex,2572
83307,W02000093,Wrexham 016,3,Married: Same sex,22
83308,W02000093,Wrexham 016,4,In a registered civil partnership: Opposite sex,2
83309,W02000093,Wrexham 016,5,In a registered civil partnership: Same sex,7
83310,W02000093,Wrexham 016,6,"Separated, but still married",96
83311,W02000093,Wrexham 016,7,"Separated, but still in a registered civil partnership",0
83312,W02000093,Wrexham 016,8,Divorced,563
83313,W02000093,Wrexham 016,9,Formerly in a civil partnership now legally dissolved,1
83314,W02000093,Wrexham 016,10,Widowed,339
83315,W02000093,Wrexham 016,11,Surviving partner from civil partnership,0
83316,W02000094,Wrexham 017,-8,Does not apply,1793
83317,W02000094,Wrexham 017,1,Never married and never registered a civil partnership,2818
83318,W02000094,Wrexham 017,2,Married: Opposite sex,2841
83319,W02000094,Wrexham 017,3,Married: Same sex,19
83320,W02000094,Wrexham 017,4,In a registered civil partnership: Opposite sex,8
83321,W02000094,Wrexham 017,5,In a registered civil partnership: Same sex,8
83322,W02000094,Wrexham 017,6,"Separated, but still married",152
83323,W02000094,Wrexham 017,7,"Separated, but still in a registered civil partnership",2
83324,W02000094,Wrexham 017,8,Divorced,775
83325,W02000094,Wrexham 017,9,Formerly in a civil partnership now legally dissolved,2
83326,W02000094,Wrexham 017,10,Widowed,482
83327,W02000094,Wrexham 017,11,Surviving partner from civil partnership,0
83328,W02000095,Wrexham 018,-8,Does not apply,1006
83329,W02000095,Wrexham 018,1,Never married and never registered a civil partnership,1415
83330,W02000095,Wrexham 018,2,Married: Opposite sex,2948
83331,W02000095,Wrexham 018,3,Married: Same sex,15
83332,W02000095,Wrexham 018,4,In a registered civil partnership: Opposite sex,6
83333,W02000095,Wrexham 018,5,In a registered civil partnership: Same sex,6
83334,W02000095,Wrexham 018,6,"Separated, but still married",101
83335,W02000095,Wrexham 018,7,"Separated, but still in a registered civil partnership",2
83336,W02000095,Wrexham 018,8,Divorced,506
83337,W02000095,Wrexham 018,9,Formerly in a civil partnership now legally dissolved,0
83338,W02000095,Wrexham 018,10,Widowed,381
83339,W02000095,Wrexham 018,11,Surviving partner from civil partnership,0
83340,W02000096,Wrexham 019,-8,Does not apply,1104
83341,W02000096,Wrexham 019,1,Never married and never registered a civil partnership,1743
83342,W02000096,Wrexham 019,2,Married: Opposite sex,2455
83343,W02000096,Wrexham 019,3,Married: Same sex,16
83344,W02000096,Wrexham 019,4,In a registered civil partnership: Opposite sex,2
83345,W02000096,Wrexham 019,5,In a registered civil partnership: Same sex,6
83346,W02000096,Wrexham 019,6,"Separated, but still married",108
83347,W02000096,Wrexham 019,7,"Separated, but still in a registered civil partnership",0
83348,W02000096,Wrexham 019,8,Divorced,573
83349,W02000096,Wrexham 019,9,Formerly in a civil partnership now legally dissolved,3
83350,W02000096,Wrexham 019,10,Widowed,450
83351,W02000096,Wrexham 019,11,Surviving partner from civil partnership,0
83352,W02000097,Powys 001,-8,Does not apply,1432
83353,W02000097,Powys 001,1,Never married and never registered a civil partnership,2315
83354,W02000097,Powys 001,2,Married: Opposite sex,4051
83355,W02000097,Powys 001,3,Married: Same sex,19
83356,W02000097,Powys 001,4,In a registered civil partnership: Opposite sex,6
83357,W02000097,Powys 001,5,In a registered civil partnership: Same sex,28
83358,W02000097,Powys 001,6,"Separated, but still married",123
83359,W02000097,Powys 001,7,"Separated, but still in a registered civil partnership",0
83360,W02000097,Powys 001,8,Divorced,730
83361,W02000097,Powys 001,9,Formerly in a civil partnership now legally dissolved,1
83362,W02000097,Powys 001,10,Widowed,604
83363,W02000097,Powys 001,11,Surviving partner from civil partnership,0
83364,W02000098,Powys 002,-8,Does not apply,946
83365,W02000098,Powys 002,1,Never married and never registered a civil partnership,1470
83366,W02000098,Powys 002,2,Married: Opposite sex,2869
83367,W02000098,Powys 002,3,Married: Same sex,4
83368,W02000098,Powys 002,4,In a registered civil partnership: Opposite sex,2
83369,W02000098,Powys 002,5,In a registered civil partnership: Same sex,5
83370,W02000098,Powys 002,6,"Separated, but still married",83
83371,W02000098,Powys 002,7,"Separated, but still in a registered civil partnership",1
83372,W02000098,Powys 002,8,Divorced,477
83373,W02000098,Powys 002,9,Formerly in a civil partnership now legally dissolved,0
83374,W02000098,Powys 002,10,Widowed,401
83375,W02000098,Powys 002,11,Surviving partner from civil partnership,1
83376,W02000099,Powys 003,-8,Does not apply,1102
83377,W02000099,Powys 003,1,Never married and never registered a civil partnership,2134
83378,W02000099,Powys 003,2,Married: Opposite sex,2049
83379,W02000099,Powys 003,3,Married: Same sex,13
83380,W02000099,Powys 003,4,In a registered civil partnership: Opposite sex,0
83381,W02000099,Powys 003,5,In a registered civil partnership: Same sex,7
83382,W02000099,Powys 003,6,"Separated, but still married",146
83383,W02000099,Powys 003,7,"Separated, but still in a registered civil partnership",0
83384,W02000099,Powys 003,8,Divorced,695
83385,W02000099,Powys 003,9,Formerly in a civil partnership now legally dissolved,0
83386,W02000099,Powys 003,10,Widowed,490
83387,W02000099,Powys 003,11,Surviving partner from civil partnership,0
83388,W02000100,Powys 004,-8,Does not apply,936
83389,W02000100,Powys 004,1,Never married and never registered a civil partnership,1717
83390,W02000100,Powys 004,2,Married: Opposite sex,2543
83391,W02000100,Powys 004,3,Married: Same sex,12
83392,W02000100,Powys 004,4,In a registered civil partnership: Opposite sex,8
83393,W02000100,Powys 004,5,In a registered civil partnership: Same sex,10
83394,W02000100,Powys 004,6,"Separated, but still married",90
83395,W02000100,Powys 004,7,"Separated, but still in a registered civil partnership",0
83396,W02000100,Powys 004,8,Divorced,518
83397,W02000100,Powys 004,9,Formerly in a civil partnership now legally dissolved,1
83398,W02000100,Powys 004,10,Widowed,367
83399,W02000100,Powys 004,11,Surviving partner from civil partnership,2
83400,W02000101,Powys 005,-8,Does not apply,821
83401,W02000101,Powys 005,1,Never married and never registered a civil partnership,1331
83402,W02000101,Powys 005,2,Married: Opposite sex,2467
83403,W02000101,Powys 005,3,Married: Same sex,12
83404,W02000101,Powys 005,4,In a registered civil partnership: Opposite sex,4
83405,W02000101,Powys 005,5,In a registered civil partnership: Same sex,15
83406,W02000101,Powys 005,6,"Separated, but still married",82
83407,W02000101,Powys 005,7,"Separated, but still in a registered civil partnership",0
83408,W02000101,Powys 005,8,Divorced,442
83409,W02000101,Powys 005,9,Formerly in a civil partnership now legally dissolved,0
83410,W02000101,Powys 005,10,Widowed,361
83411,W02000101,Powys 005,11,Surviving partner from civil partnership,1
83412,W02000102,Powys 006,-8,Does not apply,952
83413,W02000102,Powys 006,1,Never married and never registered a civil partnership,1522
83414,W02000102,Powys 006,2,Married: Opposite sex,2752
83415,W02000102,Powys 006,3,Married: Same sex,1
83416,W02000102,Powys 006,4,In a registered civil partnership: Opposite sex,2
83417,W02000102,Powys 006,5,In a registered civil partnership: Same sex,8
83418,W02000102,Powys 006,6,"Separated, but still married",70
83419,W02000102,Powys 006,7,"Separated, but still in a registered civil partnership",0
83420,W02000102,Powys 006,8,Divorced,485
83421,W02000102,Powys 006,9,Formerly in a civil partnership now legally dissolved,0
83422,W02000102,Powys 006,10,Widowed,360
83423,W02000102,Powys 006,11,Surviving partner from civil partnership,0
83424,W02000103,Powys 007,-8,Does not apply,864
83425,W02000103,Powys 007,1,Never married and never registered a civil partnership,1376
83426,W02000103,Powys 007,2,Married: Opposite sex,2639
83427,W02000103,Powys 007,3,Married: Same sex,12
83428,W02000103,Powys 007,4,In a registered civil partnership: Opposite sex,8
83429,W02000103,Powys 007,5,In a registered civil partnership: Same sex,13
83430,W02000103,Powys 007,6,"Separated, but still married",91
83431,W02000103,Powys 007,7,"Separated, but still in a registered civil partnership",0
83432,W02000103,Powys 007,8,Divorced,398
83433,W02000103,Powys 007,9,Formerly in a civil partnership now legally dissolved,1
83434,W02000103,Powys 007,10,Widowed,384
83435,W02000103,Powys 007,11,Surviving partner from civil partnership,4
83436,W02000104,Powys 008,-8,Does not apply,981
83437,W02000104,Powys 008,1,Never married and never registered a civil partnership,1840
83438,W02000104,Powys 008,2,Married: Opposite sex,2205
83439,W02000104,Powys 008,3,Married: Same sex,10
83440,W02000104,Powys 008,4,In a registered civil partnership: Opposite sex,0
83441,W02000104,Powys 008,5,In a registered civil partnership: Same sex,11
83442,W02000104,Powys 008,6,"Separated, but still married",134
83443,W02000104,Powys 008,7,"Separated, but still in a registered civil partnership",1
83444,W02000104,Powys 008,8,Divorced,598
83445,W02000104,Powys 008,9,Formerly in a civil partnership now legally dissolved,0
83446,W02000104,Powys 008,10,Widowed,416
83447,W02000104,Powys 008,11,Surviving partner from civil partnership,0
83448,W02000105,Powys 009,-8,Does not apply,1197
83449,W02000105,Powys 009,1,Never married and never registered a civil partnership,1707
83450,W02000105,Powys 009,2,Married: Opposite sex,1406
83451,W02000105,Powys 009,3,Married: Same sex,3
83452,W02000105,Powys 009,4,In a registered civil partnership: Opposite sex,0
83453,W02000105,Powys 009,5,In a registered civil partnership: Same sex,7
83454,W02000105,Powys 009,6,"Separated, but still married",115
83455,W02000105,Powys 009,7,"Separated, but still in a registered civil partnership",3
83456,W02000105,Powys 009,8,Divorced,461
83457,W02000105,Powys 009,9,Formerly in a civil partnership now legally dissolved,1
83458,W02000105,Powys 009,10,Widowed,265
83459,W02000105,Powys 009,11,Surviving partner from civil partnership,0
83460,W02000106,Powys 010,-8,Does not apply,997
83461,W02000106,Powys 010,1,Never married and never registered a civil partnership,1622
83462,W02000106,Powys 010,2,Married: Opposite sex,2723
83463,W02000106,Powys 010,3,Married: Same sex,8
83464,W02000106,Powys 010,4,In a registered civil partnership: Opposite sex,0
83465,W02000106,Powys 010,5,In a registered civil partnership: Same sex,5
83466,W02000106,Powys 010,6,"Separated, but still married",133
83467,W02000106,Powys 010,7,"Separated, but still in a registered civil partnership",0
83468,W02000106,Powys 010,8,Divorced,569
83469,W02000106,Powys 010,9,Formerly in a civil partnership now legally dissolved,1
83470,W02000106,Powys 010,10,Widowed,430
83471,W02000106,Powys 010,11,Surviving partner from civil partnership,0
83472,W02000107,Powys 011,-8,Does not apply,1344
83473,W02000107,Powys 011,1,Never married and never registered a civil partnership,2368
83474,W02000107,Powys 011,2,Married: Opposite sex,4291
83475,W02000107,Powys 011,3,Married: Same sex,22
83476,W02000107,Powys 011,4,In a registered civil partnership: Opposite sex,17
83477,W02000107,Powys 011,5,In a registered civil partnership: Same sex,10
83478,W02000107,Powys 011,6,"Separated, but still married",178
83479,W02000107,Powys 011,7,"Separated, but still in a registered civil partnership",0
83480,W02000107,Powys 011,8,Divorced,866
83481,W02000107,Powys 011,9,Formerly in a civil partnership now legally dissolved,1
83482,W02000107,Powys 011,10,Widowed,678
83483,W02000107,Powys 011,11,Surviving partner from civil partnership,0
83484,W02000108,Powys 012,-8,Does not apply,1067
83485,W02000108,Powys 012,1,Never married and never registered a civil partnership,1736
83486,W02000108,Powys 012,2,Married: Opposite sex,3132
83487,W02000108,Powys 012,3,Married: Same sex,13
83488,W02000108,Powys 012,4,In a registered civil partnership: Opposite sex,0
83489,W02000108,Powys 012,5,In a registered civil partnership: Same sex,2
83490,W02000108,Powys 012,6,"Separated, but still married",136
83491,W02000108,Powys 012,7,"Separated, but still in a registered civil partnership",4
83492,W02000108,Powys 012,8,Divorced,580
83493,W02000108,Powys 012,9,Formerly in a civil partnership now legally dissolved,0
83494,W02000108,Powys 012,10,Widowed,540
83495,W02000108,Powys 012,11,Surviving partner from civil partnership,0
83496,W02000109,Powys 013,-8,Does not apply,857
83497,W02000109,Powys 013,1,Never married and never registered a civil partnership,1660
83498,W02000109,Powys 013,2,Married: Opposite sex,1941
83499,W02000109,Powys 013,3,Married: Same sex,8
83500,W02000109,Powys 013,4,In a registered civil partnership: Opposite sex,4
83501,W02000109,Powys 013,5,In a registered civil partnership: Same sex,5
83502,W02000109,Powys 013,6,"Separated, but still married",127
83503,W02000109,Powys 013,7,"Separated, but still in a registered civil partnership",0
83504,W02000109,Powys 013,8,Divorced,565
83505,W02000109,Powys 013,9,Formerly in a civil partnership now legally dissolved,0
83506,W02000109,Powys 013,10,Widowed,430
83507,W02000109,Powys 013,11,Surviving partner from civil partnership,0
83508,W02000110,Powys 014,-8,Does not apply,1020
83509,W02000110,Powys 014,1,Never married and never registered a civil partnership,1759
83510,W02000110,Powys 014,2,Married: Opposite sex,2848
83511,W02000110,Powys 014,3,Married: Same sex,13
83512,W02000110,Powys 014,4,In a registered civil partnership: Opposite sex,10
83513,W02000110,Powys 014,5,In a registered civil partnership: Same sex,13
83514,W02000110,Powys 014,6,"Separated, but still married",139
83515,W02000110,Powys 014,7,"Separated, but still in a registered civil partnership",2
83516,W02000110,Powys 014,8,Divorced,577
83517,W02000110,Powys 014,9,Formerly in a civil partnership now legally dissolved,1
83518,W02000110,Powys 014,10,Widowed,458
83519,W02000110,Powys 014,11,Surviving partner from civil partnership,0
83520,W02000111,Powys 015,-8,Does not apply,1227
83521,W02000111,Powys 015,1,Never married and never registered a civil partnership,2226
83522,W02000111,Powys 015,2,Married: Opposite sex,3396
83523,W02000111,Powys 015,3,Married: Same sex,13
83524,W02000111,Powys 015,4,In a registered civil partnership: Opposite sex,10
83525,W02000111,Powys 015,5,In a registered civil partnership: Same sex,17
83526,W02000111,Powys 015,6,"Separated, but still married",155
83527,W02000111,Powys 015,7,"Separated, but still in a registered civil partnership",0
83528,W02000111,Powys 015,8,Divorced,817
83529,W02000111,Powys 015,9,Formerly in a civil partnership now legally dissolved,1
83530,W02000111,Powys 015,10,Widowed,596
83531,W02000111,Powys 015,11,Surviving partner from civil partnership,4
83532,W02000113,Powys 017,-8,Does not apply,1361
83533,W02000113,Powys 017,1,Never married and never registered a civil partnership,2442
83534,W02000113,Powys 017,2,Married: Opposite sex,2897
83535,W02000113,Powys 017,3,Married: Same sex,12
83536,W02000113,Powys 017,4,In a registered civil partnership: Opposite sex,6
83537,W02000113,Powys 017,5,In a registered civil partnership: Same sex,8
83538,W02000113,Powys 017,6,"Separated, but still married",165
83539,W02000113,Powys 017,7,"Separated, but still in a registered civil partnership",0
83540,W02000113,Powys 017,8,Divorced,802
83541,W02000113,Powys 017,9,Formerly in a civil partnership now legally dissolved,0
83542,W02000113,Powys 017,10,Widowed,561
83543,W02000113,Powys 017,11,Surviving partner from civil partnership,2
83544,W02000114,Powys 018,-8,Does not apply,974
83545,W02000114,Powys 018,1,Never married and never registered a civil partnership,1441
83546,W02000114,Powys 018,2,Married: Opposite sex,3344
83547,W02000114,Powys 018,3,Married: Same sex,10
83548,W02000114,Powys 018,4,In a registered civil partnership: Opposite sex,7
83549,W02000114,Powys 018,5,In a registered civil partnership: Same sex,9
83550,W02000114,Powys 018,6,"Separated, but still married",99
83551,W02000114,Powys 018,7,"Separated, but still in a registered civil partnership",0
83552,W02000114,Powys 018,8,Divorced,558
83553,W02000114,Powys 018,9,Formerly in a civil partnership now legally dissolved,2
83554,W02000114,Powys 018,10,Widowed,497
83555,W02000114,Powys 018,11,Surviving partner from civil partnership,1
83556,W02000116,Ceredigion 001,-8,Does not apply,1189
83557,W02000116,Ceredigion 001,1,Never married and never registered a civil partnership,2054
83558,W02000116,Ceredigion 001,2,Married: Opposite sex,2898
83559,W02000116,Ceredigion 001,3,Married: Same sex,14
83560,W02000116,Ceredigion 001,4,In a registered civil partnership: Opposite sex,6
83561,W02000116,Ceredigion 001,5,In a registered civil partnership: Same sex,23
83562,W02000116,Ceredigion 001,6,"Separated, but still married",121
83563,W02000116,Ceredigion 001,7,"Separated, but still in a registered civil partnership",0
83564,W02000116,Ceredigion 001,8,Divorced,604
83565,W02000116,Ceredigion 001,9,Formerly in a civil partnership now legally dissolved,4
83566,W02000116,Ceredigion 001,10,Widowed,448
83567,W02000116,Ceredigion 001,11,Surviving partner from civil partnership,1
83568,W02000117,Ceredigion 002,-8,Does not apply,587
83569,W02000117,Ceredigion 002,1,Never married and never registered a civil partnership,6379
83570,W02000117,Ceredigion 002,2,Married: Opposite sex,1253
83571,W02000117,Ceredigion 002,3,Married: Same sex,18
83572,W02000117,Ceredigion 002,4,In a registered civil partnership: Opposite sex,4
83573,W02000117,Ceredigion 002,5,In a registered civil partnership: Same sex,9
83574,W02000117,Ceredigion 002,6,"Separated, but still married",69
83575,W02000117,Ceredigion 002,7,"Separated, but still in a registered civil partnership",1
83576,W02000117,Ceredigion 002,8,Divorced,400
83577,W02000117,Ceredigion 002,9,Formerly in a civil partnership now legally dissolved,0
83578,W02000117,Ceredigion 002,10,Widowed,251
83579,W02000117,Ceredigion 002,11,Surviving partner from civil partnership,0
83580,W02000118,Ceredigion 003,-8,Does not apply,1081
83581,W02000118,Ceredigion 003,1,Never married and never registered a civil partnership,2630
83582,W02000118,Ceredigion 003,2,Married: Opposite sex,1769
83583,W02000118,Ceredigion 003,3,Married: Same sex,17
83584,W02000118,Ceredigion 003,4,In a registered civil partnership: Opposite sex,6
83585,W02000118,Ceredigion 003,5,In a registered civil partnership: Same sex,8
83586,W02000118,Ceredigion 003,6,"Separated, but still married",105
83587,W02000118,Ceredigion 003,7,"Separated, but still in a registered civil partnership",0
83588,W02000118,Ceredigion 003,8,Divorced,535
83589,W02000118,Ceredigion 003,9,Formerly in a civil partnership now legally dissolved,1
83590,W02000118,Ceredigion 003,10,Widowed,304
83591,W02000118,Ceredigion 003,11,Surviving partner from civil partnership,2
83592,W02000120,Ceredigion 005,-8,Does not apply,968
83593,W02000120,Ceredigion 005,1,Never married and never registered a civil partnership,1837
83594,W02000120,Ceredigion 005,2,Married: Opposite sex,3017
83595,W02000120,Ceredigion 005,3,Married: Same sex,22
83596,W02000120,Ceredigion 005,4,In a registered civil partnership: Opposite sex,2
83597,W02000120,Ceredigion 005,5,In a registered civil partnership: Same sex,8
83598,W02000120,Ceredigion 005,6,"Separated, but still married",107
83599,W02000120,Ceredigion 005,7,"Separated, but still in a registered civil partnership",0
83600,W02000120,Ceredigion 005,8,Divorced,589
83601,W02000120,Ceredigion 005,9,Formerly in a civil partnership now legally dissolved,0
83602,W02000120,Ceredigion 005,10,Widowed,525
83603,W02000120,Ceredigion 005,11,Surviving partner from civil partnership,0
83604,W02000122,Ceredigion 007,-8,Does not apply,853
83605,W02000122,Ceredigion 007,1,Never married and never registered a civil partnership,1442
83606,W02000122,Ceredigion 007,2,Married: Opposite sex,2995
83607,W02000122,Ceredigion 007,3,Married: Same sex,8
83608,W02000122,Ceredigion 007,4,In a registered civil partnership: Opposite sex,8
83609,W02000122,Ceredigion 007,5,In a registered civil partnership: Same sex,7
